ENG	RU	CATEGORY	FLAG	NOTE
Aarus	Аарус	translit		Криптический обрубок/родовое аристократ-имя; чёткой пасхалки нет. Благородно-чуждый транслит.
Adachi	Адати	reference	FLAG	Persona 4 — Тору Адати (детектив-антагонист, нигилист-манипулятор). Канон 'Адати'. Тема надменного хищника-манипулятора ложится; вероятная, но не 100% пасхалка.
Agent	Агент	canon		Канон. Шпионский троп (MGS/спай-жанр) — холодный безличный позывной.
Algernon	Элджернон	reference		Канон 'Цветы для Элджернона'; норм.-фр. 'aux gernons' = усатый — пасхалка на усы кота-хищника
Anoth	Анот	translit		Усечённое 'another' или фэнтези-имя (ср. библ. Анот). Транслит.
Arct	Аркт	canon		КАНОН. Усечение 'Arctic' — ледяной хищник. Транслит.
Artificer	Техник	canon		Канон. Rain World — Artificer (мстительная самка-сланкэт); также D&D класс. Титул-мастер в тон надменному виду.
Argant	Аргант	translit	FLAG	Криптический обрубок; возможно от 'arrogant' (надменный) или фр. 'argent' (серебро) — оба в тон, но неявно; транслит
Arnold	Арнольд	canon		Канон. Отсылка: Шварценеггер/Терминатор (экшен-икона).
Assassin	Ассасин	reference		Жанровый троп ниндзя/убийцы (Assassin's Creed). Для надменного хищника 'Ассасин' благороднее 'Убийцы'; не плодит коллизию с Slayer/Истребитель.
Atticus	Аттикус	reference		Классическое благородно-римское имя (Финч; Тит Помпоний Аттик). Идеал для аристократа.
Barnaby	Барнаби	reference		Джентльменское имя (Barnaby Rudge у Диккенса); аристократ-колорит, канон
Bartholomew	Бартоломью	translit		Пышное аристократ-имя; форма длиннее/напыщеннее (не библ. Варфоломей). Изящный транслит для надменного кота.
Bastard	Ублюдок	meaning	FLAG	OVR Смысл 'Ублюдок/Бастард'. Для надменного хищника — гордый титул незаконнорождённого; 'Бастард' благороднее 'Ублюдка'. Спорно тон.
Benedict	Бенедикт	reference		Аристократ-имя (лат. 'благословенный'); намёк на Бенедикта Арнольда — налёт предательства уместен.
Bishop	Бишоп	canon		Канон; андроид 'Чужих' + Люди Икс + шахм. слон — фигура для стратега-командира
Blackout	Блэкаут	reference		Отсылка: Transformers Blackout + милитари-троп 'затемнение/отключка'. Тёмная палитра вида; транслит сохраняет позывной.
Blade	Клинок	weapon-word		Оружейный троп. По политике Blade→Клинок (грозно). Marvel-канон 'Блэйд' отвергнут в пользу смысла; не коллизирует с Sword→Меч, Knife→Нож.
Blaster	Бластер	canon		Канон. Оружейное; также автобот Blaster (Transformers). Стрелковый колорит вида.
Blaze	Блейз	canon		Канон; огненный позывной (Sonic/MK). В каноне 'Блейз' (в блоке встречается 'Блэйз', но канон-секция даёт 'Блейз')
Bluesteel	Блюстил	weapon-word	FLAG	Оружейное: воронёная/синяя сталь стволов + поза из Zoolander. Транслит держит цельность позывного; альт 'Синяя сталь'.
Blythe	Блайт	canon		КАНОН. Англ. фамилия ('беззаботный'), аристократ-налёт. Изящный транслит.
Boss	Босс	canon		Канон. MGS-пасхалка: The Boss / Big Boss — идеал для командира-вида.
Breaker	Брейкер	codename		Милитари-позывной 'крушитель'; транслит-канон, силовая кличка
Brett	Бретт	canon		Канон. Обычное имя-контраст (ср. Бретт из 'Чужого'), не пасхалка.
Burn	Бёрн	codename	FLAG	Смысл 'Жжёный/Ожог'. Огненно-агрессивный позывной; транслит 'Бёрн' звучит как кличка грознее, чем 'Жжёный'. Спорно транслит vs смысл.
Cat	Кот	predator-word		Буквально кот — гордость/самоирония вида-кота. Грозная мужская форма 'Кот' (не 'Кэт').
Chuck	Чак	canon		Канон; Чак Норрис / сериал-шпион; простоватое имя-контраст
Church	Церковь	canon		Канон. Клерикальный кластер Bishop/Priest/Deacon; перевод по смыслу.
Claw	Коготь	predator-word		Хищное-кошачье ядро вида. По политике Claw→Коготь. Ср. Dr. Claw (Inspector Gadget) — злодей с котом.
Coldsteel	Хладная Сталь	weapon-word		Оружейное 'холодная сталь' (клинки, бренд Cold Steel) + эджи-мем. Архаично-благородная форма 'Хладная' для надменного.
Conquer	Завоеватель	weapon-word		По смыслу грозно; командир-аристократ покоряет, властная лексика (политика: Conquer→Завоеватель)
Corvus	Корвус	reference		Канон. Латынь/астрономия: ворон, созвездие Corvus. Мрачно-благородный транслит в тон латыни вида.
Cyanide	Цианид	reference		Яд — отравительский/шпионский троп (ампула шпиона). Канон 'Цианид'. Холодный убийца.
Darkness	Тьма	dark-word		Канон. Мрачный троп 'Тьма'; также Лорд Тьма ('Легенда'). Мрак палитры вида.
Deacon	Дикон	canon		Канон 'Дикон' (канон-секция); церковный кластер Bishop/Priest/Church
Delvac	Делвак	translit		Выдуманное фэнтези-имя, не узнаётся. Транслит.
Desmond	Десмонд	reference		Assassin's Creed — Десмонд Майлз. Также аристократ-имя ирл. Канон 'Десмонд'. Уместно для убийцы.
Desmos	Десмос	translit		Греч. desmos='связь/узы'. Криптический обрубок, парный к Desmond по звуку. Транслит.
Dext	Декст	canon		Канон; усечение 'dexter' (ловкий) + намёк на 'Декстер'; транслит
Elmer	Элмер	reference		Канон. Слабая отсылка: охотник Элмер Фадд (Looney Tunes), простоватое имя-контраст.
Elwood	Элвуд	canon		КАНОН. The Blues Brothers — Elwood Blues. Слабая поп-отсылка, скорее обычное имя; изящный транслит.
Enoch	Енох	reference		Канон. Библ. Енох (взят живым на небо); протагонист El Shaddai. Сакральная архаика в тон.
Felice	Феличе	translit	FLAG	Лат./итал. 'felix' = счастливый, созвучно 'feline' (кошачий); кошачий намёк, транслит
Felix	Феликс	canon		Канон. Кот Феликс + корень feli- (кошачий) + лат. 'счастливый'. Идеал для кота-хищника.
Forzen	Форзен	canon	FLAG	КАНОН. Искажённое 'Frozen' (мёрзлый) — холодный хищный мотив, либо ник CoD-игрока. Транслит 'Форзен'. Спорно отсылка/смысл.
Furball	Комок Шерсти	predator-word		Кошачье по смыслу (политика: Furball→Комок Шерсти). Презрительно к пешке-добыче, кошачий юмор.
Gabriel	Гэбриэл	canon		Канон 'Гэбриэл' (канон-секция); надменный ангел Gabriel из Ultrakill, архангел-воитель — идеален для судьи
