ENG	RU	CATEGORY	FLAG	NOTE
Adder	Гадюка	codename		Гадюка как военный позывной (змея/оружейный код). Не отсылка. Дисциплинированный регистр MILKY — звучит как позывной снайпера.
Agent	Агент	rank-role		Роль/спецагент в военном регистре. Не отсылка по своду. По смыслу — Агент.
Alexander	Александр	translit		Обычное мужское имя → транслит. Не отсылка.
Alpha	Альфа	meaning		Греч. буква — канон Альфа (военный позывной). Не отсылка по линзе.
Alpha-0	Альфа-0	codename		Греч. буква + суффикс по правилу: Alpha-0 → Альфа-0. Не отсылка.
Anim	Аним	canon		Канон из свода (1:1). Криптический обрубок-транслит.
Anon	Анон	canon		Канон из других секций: Анон.
Arct	Аркт	translit	FLAG	Криптический обрубок (Arctic?). По политике — транслит Аркт. Спорно: возможно сокр. от Arctic.
Artificer	Техник	reference	FLAG	OVR ОТСЫЛКА → Rain World (Downpour, slugcat). Канон комьюнити: Ремесленник. Flag: сверить с принятой формой слизнекотов в проекте (как Saint).
Beta	Бета	codename		Греч. буква как кодовое имя/позывной. Не отсылка.
Beta-1	Бета-1	codename		Греч. буква + суффикс: Beta→Бета, -1 сохраняем.
Bishop	Бишоп	reference		ОТСЫЛКА → Aliens (1986), андроид Bishop. Канон дубляжа — Бишоп.
Boss	Босс	rank-role		Командирская роль/звание-обращение. Военный регистр — Босс (главарь отряда). Не отсылка.
Calibre	Калибр	weapon		Оружейно-кодовое (калибр). Не отсылка. По политике оружия — Калибр.
Captain	Капитан	rank-role		Военное звание → по смыслу в военном регистре.
Carbine	Карабин	weapon		Оружие-кодовое: Carbine→Карабин.
Chef	Шеф	rank-role	FLAG	Роль-профессия → Шеф (повар). Возможна двусмысленность 'шеф'=начальник, но для MILKY роль повара уместна. Flag: Шеф vs Повар.
Church	Церковь	reference	FLAG	OVR Отсылка → Red vs. Blue (Halo-серия Rooster Teeth), солдат Church. Каноничного дубляжа нет; транслит-позывной Чёрч. Спорно: возможно 'церковь' в клерик-кластере (Priest/Deacon/Messiah).
Coach	Тренер	reference		OVR ОТСЫЛКА → L4D2 выживший Coach, канон комьюнити Коуч.
Codename 7	Позывной 7	codename	FLAG	OVR Codename = кодовое имя/позывной. Военный регистр: Кодовое 7. Альт: Позывной 7.
Conwell	Конвелл	reference		ОТСЫЛКА → вселенная дева (Orsoniks/Casualties: Unknown). Транслит-канон: Конвелл.
Corporal	Капрал	rank-role		Воинское звание Corporal → Капрал. Военный регистр.
Coward	Трус	canon		Канон из других секций: Трус.
Cpt.	Кэп.	initials		Сокращение Captain. Кириллицей с точкой — Кэп.
Cyrus	Кир	reference	FLAG	ОТСЫЛКА → Библия (Кир Великий, Исайя; связка с Isiah). Канон: Кир. Flag: возможен транслит Сайрус как личное имя; склонился к Кир по религ. линзе.
Deacon	Дикон	reference	FLAG	Отсылка → Days Gone (Deacon St. John). Транслит-позывной Дикон. Спорно: церк. сан 'дьякон' в клерик-кластере (Church/Priest/Messiah) — двусмысленно.
Delta	Дельта	codename		Греч. буква → Дельта. Военный спецназ-вайб (Delta Force).
Delta-3	Дельта-3	meaning		Греч. буква + суффикс: Delta-3→Дельта-3 (военный позывной).
Devan	Деван	translit		Обычное имя → транслит. Не отсылка.
Dext	Декст	translit		Криптический обрубок → транслит Декст (ср. Dexter). Не отсылка.
Doc	Док	rank-role		Военный сокр. для медика/врача → Док (устойчивое в военном жаргоне).
Dopple	Доппель	translit	FLAG	От Doppelganger (двойник). Не явная отсылка. Транслит Доппель; альт. Доппл.
East	Восток	meaning	FLAG	Сторона света → по смыслу Восток (звучит как позывной/направление в военном регистре). Flag: возможен транслит Ист или пара со сторонами света White.
Edgar	Эдгар	translit		Обычное имя → транслит. Не отсылка.
Elite	Элита	rank-role	FLAG	Не отсылка. Роль/статус → Элита. Развести с Leet/L33T (Лит/L33T). Флаг: можно Элитный.
Elwin	Элвин	canon		КАНОН (задан в задаче): Elwin→Элвин.
Endy	Энди	canon		КАНОН (уже решено): Энди. Транслит.
Fable	Фейбл	translit	FLAG	Не отсылка по своду. Слово 'fable'=басня/притча; как позывной — транслит Фейбл. Спорно: возможно смысловое 'Притча'.
Felix	Феликс	canon		Канон из других секций: Феликс.
Five Pebbles	Пять Галек	reference		OVR ОТСЫЛКА → Rain World, итератор Five Pebbles. Канон комьюнити — Пять Камней.
Freeman	Фримен	reference		ОТСЫЛКА → Half-Life, Gordon Freeman. Канон локализации: Фримен.
Frisk	Фриск	reference		Отсылка → Undertale (Frisk). Канон комьюнити Фриск, подтверждён памятью проекта.
Garand	Гаранд	weapon		ОТСЫЛКА → винтовка M1 Garand. Оружейная кличка → Гаранд.
Gauss	Гаусс	weapon		Оружие-кодовое (gauss gun): Gauss→Гаусс.
Gerson	Герсон	reference		ОТСЫЛКА → Undertale (Gerson the Hammer of Justice). Канон комьюнити: Герсон.
Glock	Глок	weapon		Отсылка-оружие → пистолет Glock. Устоявшаяся форма Глок. Кодовое оружейное имя.
