ENG	RU	CATEGORY	FLAG	NOTE
Aaron	Аарон	canon		Канон: Аарон. Обычное имя, не отсылка.
Achilie	Ахиллес	reference	FLAG	Искажённое Achilles — греческий герой, прыгучесть/'Ахиллова' нога, в тему атлетов. Низкая уверенность из-за странной орфографии.
Andrew	Эндрю	canon		Канон. Обычное имя, не отсылка.
Anon	Анон	canon		Канон. Интернет/4chan 'анон', созвучно мему. Транслит.
Archer	Арчер	translit	FLAG	Слабая отсылка (сериал Archer/лучник). Для шоумена-задиры транслит Арчер звучит как имя на табличке; смысл-вариант Лучник возможен, но транслит чище в линзе.
Austin	Остин	translit		Обычное имя/город; слабое созвучие с Остином Пауэрсом. Транслит.
Bam	Бам	canon		Канон. Звукоподражание 'Bam!' / Bam Margera (Jackass), возглас удара — в тему экшена.
Basil	Бэзил	canon		Канон. OMORI Basil / трава базилик; как имя на табличке — Бэзил.
Baxter	Бакстер	reference		Канон: Бакстер. Отсылка (LPS Blythe Baxter / пёс из Anchorman), кластер с Blythe. Транслит.
Blake	Блейк	translit		Обычное имя, не отсылка. Транслит.
Blaster	Бластер	weapon		Оружейно-шутерная лексика (Star Wars/аркады), канон. перевод Бластер.
Blythe	Блайт	reference		Отсылка LPS (Blythe Baxter), дубляж 'Блайт'. Транслит-канон.
Bode	Боуд	translit	FLAG	Слабая отсылка (Bode Miller/Bodhi из Point Break — экстрим/паркур-вайб). Криптический обрубок → транслит Боуд.
Boom	Бабах	canon		Канон: Бабах. Звукоподражание взрыва, идеально для театрального экшен-задиры.
Boston	Бостон	translit		Топоним-имя, не отсылка. Транслит.
Brandon	Брэндон	translit		Обычное имя, транслит по политике.
Brent	Брент	canon		Канон: Брент. Обычное имя, не отсылка.
Brett	Бретт	canon		Канон: Бретт. Обычное имя.
Brock	Брок	translit	FLAG	Возм. отсылка Pokémon (Брок), но и обычное брутальное имя. Транслит, отсылка неуверенная.
Bryce	Брайс	translit		Обычное имя, транслит.
Bullet	Пуля	canon		Канон: Пуля. Стрелковое слово-кличка, в тему быстрого/резкого прыгуна.
Bushy	Кустистый	nature-word		Природная лексика вида (bush=куст). Смысл-перевод, как Grass/Fern/Spruce.
Carlos	Карлос	canon		Канон. Латино-имя, кластер (Pedro/Gonzales/Manny), GTA Vice City. Транслит.
Chad	Чад	reference		Канон. Мем 'гигачад/альфа', ложится на задиру-шоумена. Транслит, мем узнаваем.
Chicago	Чикаго	translit		Топоним-кличка, не отсылка. Канон. форма Чикаго.
Cliff	Утёс	nature-word	FLAG	Природа Leapy — утёс/скала, для прыгуна метко (прыжок с обрыва). Также имя Клифф/Cliffjumper. Развожу по смыслу под вид.
Climber	Скалолаз	action-word		Двигательная лексика — скалолаз/верхолаз, прямо в тему лазающего вида. По смыслу.
Clove	Гвоздика	nature-word		Природная лексика — гвоздика (пряность/растение). Также Голодные игры. Смысл.
Colt	Кольт	canon		Канон: Кольт. Двойной смысл (револьвер Colt + жеребёнок-прыткий) идеален для вида.
Commando	Коммандо	reference		Канон рус. проката фильма 'Коммандо' (1985, Шварценеггер) — боевик 80-х, прямо в линзу вида.
Cooper	Купер	translit	FLAG	Слабая отсылка Sly Cooper (ловкий прыгучий вор) / D.B. Cooper. Транслит.
Courier	Курьер	reference		Канон. Fallout: NV протагонист + 'быстрый посыльный' (движение). Смысл.
Crash	Крэш	reference		Канон: Крэш. Crash Bandicoot (прыгучий платформер) — идеально для Leapy; РУ-устоявшееся Крэш.
Crieg	Криг	canon	FLAG	Искажённое Krieg (психо из Borderlands 2, орёт театрально). Канон чанка дал Криг (транслит). Спорно из-за орфографии.
David	Дэвид	translit		Обычное имя, не отсылка. Транслит.
Denim	Деним	meaning	FLAG	Джинсовая ткань, пижонистое стилёвое слово. 'Деним' звучнее 'Джинса' для шоумена; не персонаж — отсюда flag.
Denise	Дениз	translit		Женское имя в женской форме (Денис→Дениз), не отсылка.
Dew	Роса	nature-word		Природная лексика — роса; также Mountain Dew (гиперактивность в тему). Смысл-перевод.
Dominic	Доминик	translit	FLAG	Слабая отсылка Dom Toretto (Форсаж). Обычное имя, транслит.
Dragon	Дракон	reference		Канон. Боевое прозвище (кунг-фу/Enter the Dragon). Смысл/прозвище.
Dude	Чувак	canon		Канон: Чувак. Слово-кличка (The Dude/общее 'чувак').
Duncan	Дункан	translit	FLAG	Имя Дункан; возможна отсылка к панку-задире из Total Drama, но неуверенно. Транслит.
Dylan	Дилан	translit		Обычное имя, не отсылка. Транслит.
East	Восток	canon		Канон. Сторона света/направление-движение. Смысл.
Elwood	Элвуд	reference		Канон: Элвуд. Elwood Blues (Братья Блюз) — погони/экшен-комедия в линзе. Транслит.
Eric	Эрик	canon		Канон: Эрик. Обычное имя.
Everett	Эверетт	translit	FLAG	Слабо: O Brother / созвучие Everest (восхождение). Транслит.
Fern	Папоротник	nature-word		Природная лексика — папоротник (как Grass, Leaf, Clove). Смысл.
Florian	Флориан	translit		Обычное имя, не отсылка. Транслит Флориан.
Frisk	Фриск	canon		Канон: Фриск. Протагонист Undertale, РУ-локализация Фриск.
Fritz	Фриц	translit		Обычное имя, не отсылка. Транслит.
Fungus	Гриб	nature-word		Природная лексика — гриб/плесень. 'Гриб' бодрее 'Плесени' для боевикового регистра. Смысл.
Gabe	Гейб	translit	FLAG	Слабая отсылка (Gabe Newell/GabeN в гейм-линзе). Сокр. от Gabriel → транслит Гейб.
Gardener	Садовник	nature-word		Природно-занятийная лексика вида (растения). Смысл-перевод.
Gonzales	Гонзалес	reference		Канон. Speedy Gonzales (самая быстрая мышь) — сильно в тему прыгучих/быстрых LEAPY. Транслит-канон.
Grass	Трава	nature-word		Ядровая природная лексика вида. Смысл.
Green	Зелёный	nature-word	FLAG	OVR Природно-цветовая лексика (зелёный — растительный вид). Транслит Грин чтобы избежать коллизий с Grass/Leaf; смысл-вариант Зелёный спорен.
Grove	Роща	nature-word		Природная лексика — роща/лесок; также Grove Street (GTA). Смысл-перевод.
Gump	Гамп	canon		Канон. Форрест Гамп ('Беги, Форрест!') — икона бега, в тему прыткого вида.
Hopper	Кузнечик	action-word		OVR Двигательная лексика — прыгун, ИДЕАЛЬНО для прыгучего LEAPY (+отсылки A Bug's Life/Stranger Things). Развожу с Jumper: Hopper=Прыгун.
Horns	Рогач	nature-word	FLAG	Телесно-природная черта (рога=бодливость=задиристость). Рогач как бодрая кличка-задира; альт. Рога.
Hunter	Охотник	canon		Канон: Охотник. Rain World — слизнекот Hunter, РУ-комьюнити Охотник.
Jack	Джек	translit		Обычное имя, не отсылка. Транслит.
Jacob	Джейкоб	canon		Канон. Обычное имя, транслит.
