ENG	RU	CATEGORY	FLAG	NOTE
AJ	Эй-Джей	canon		Канон из задания (инициалы → кириллицей).
Aaron	Аарон	translit		Обычное мужское имя → транслит.
Andrew	Эндрю	canon		Канон из др. секции — берём 1:1 (не отсылка, обычное имя).
Armstrong	Армстронг	reference	FLAG	Отсылка → Metal Gear Rising: Revengeance (сенатор Армстронг), качок-нанотех-громила, тема ORANGE. Но и распространённая фамилия (Нил Армстронг) — канон-транслит совпадает, flag для перепроверки намерения.
Arnold	Арнольд	reference	FLAG	Отсылка к Schwarzenegger (likely), но и обычное имя. Канон RU «Арнольд» совпадает с транслитом. Флаг — отсылка спорная.
Bacon	Бекон	word-name		Еда как слово → по смыслу; ориентир из брифа (Bacon→Бекон).
Bam	Бам	translit	FLAG	Неоднозначно: ономатопея 'бам' (удар) или отсылка Bamm-Bamm (Флинтстоуны). Транслит 'Бам' покрывает оба. Спорно.
Barrel	Бочка	word-name		Слово-предмет, по смыслу. Bochka/Бочка — здоровяк-бочка в тему тупого толстяка.
Bear	Медведь	word-name		Не отсылка; слово-животное → по смыслу (как пример Bear→Медведь).
Benry	Бенри	reference		Отсылка → Half-Life VR but the AI is Self-Aware (Benrey/Benry), написание с одной 'e' = Scorpy. Канон: Бенри.
Biggie	Бигги	reference	FLAG	Отсылка → Notorious B.I.G. (канон Бигги); также буквально 'большой' — на тему здоровяка. Транслит сохраняет оба смысла.
Bilbo	Бильбо	reference		Отсылка → Властелин колец/Хоббит (Бильбо Бэггинс), канон RU-дубляжа Бильбо. Имя уникальное толкиновское.
Billy	Билли	translit		Обычное мужское имя → транслит.
Blaze	Блейз	translit		Имя/прозвище 'Blaze' (огонь), узнаваемо как кличка → транслит как имя.
Boar	Кабан	word-name		Природа/животное → по смыслу. Кабан — грубый, на тему здоровяка.
Bodhi	Бодхи	reference		Отсылка → На гребне волны (Point Break, 1991) — Бодхи (Патрик Суэйзи). Канон-транслит Бодхи.
Boe	Боу	translit		Криптический обрубок → транслит (как ориентир Boe→Боу).
Bogdan	Богдан	translit		Славянское имя → прямая русская форма.
Bogo	Бого	reference	FLAG	Отсылка → Зверополис (шеф Bogo); RU-дубляж локализовал как 'Буйволсон', но транслит 'Бого' сохраняет отсылку как имя. Спорно.
Boom	Бабах	meaning	FLAG	Звукоподражание-кличка взрыва, по смыслу в тупом регистре. Альтернатива Бум; flag — выбор между Бабах/Бум.
Boxy	Коробок	meaning	FLAG	Box+y → кличка про коробку/квадратность; «Коробок» звучит как туповатая кличка. Можно «Кубышка»; флаг — выбор.
Brad	Брэд	translit		Обычное мужское имя → транслит.
Brent	Брент	translit		Обычное имя → транслит.
Brett	Бретт	translit		Обычное имя → транслит.
Bruce	Брюс	reference	FLAG	Отсылка к Bruce Lee/Willis (likely) или обычное имя; канон RU «Брюс» совпадает с транслитом. Флаг — интент спорный.
Brute	Громила	crude-insult		Кличка по смыслу в регистре тупого здоровяка; ориентир из брифа (Brute→Громила).
Brutus	Брут	reference	FLAG	Отсылка → Брут (Попай — жирный громила-силач, на тему; также римский Брут). Канон RU = Брут.
Bryan	Брайан	translit		Обычное имя → транслит (как в политике: Bryan→Брайан).
Buck	Бак	translit		Обычное имя/прозвище → транслит.
Bucket	Ведро	word-name		Предмет как слово/кличка → по смыслу. Простая туповатая кличка.
Buddy	Бадди	translit	FLAG	Не отсылка. Кличка-имя 'дружище'; транслит 'Бадди' звучит как кличка. Можно по смыслу 'Кореш' — пометил флагом.
Bullet	Пуля	word-name		Слово-предмет, по смыслу. Кличка-Пуля.
Butt	Жопа	crude-insult	FLAG	Грубая кличка тела → по смыслу в регистре громилы. Флаг — грубость, нужен глаз.
Buttcheeks	Булки	crude-insult		Грубая кличка по смыслу; ориентир из брифа (Buttcheeks→Булки).
Cady	Кэди	translit	FLAG	Слабая отсылка → Дрянные девчонки (Cady Heron), плохо подходит тупому громиле. Лучше как обычное имя → транслит Кэди.
Carl	Карл	translit	FLAG	Возможна отсылка → ATHF (толстый тупой злой Карл, в тему), но имя крайне частое (GTA SA). Канон-транслит Карл совпадает; flag — двусмысленность.
Cheeks	Щёки	crude-insult		OVR Buttcheeks-вайб → «Булки» (прямо из примеров регистра).
Cheeseball	Сырный шарик	meaning	FLAG	Cheeseball = слащавый/нелепый тип или сырная закуска. Взял буквально-съедобное в духе тупого здоровяка; альт. 'Балабол/Дурашка' — спорно.
Chubbs	Пухляш	meaning	FLAG	Скорее по смыслу 'пухлый/толстяк' (на тему), чем отсылка к Happy Gilmore. Пухляш — кличка здоровяка. Спорно vs транслит.
Chuck	Чак	translit		Обычное имя → транслит.
Chum	Кореш	meaning	FLAG	Chum = приятель/дружбан; «Кореш» — простецки. Также Chum=наживка из рыбы, но дружок уместнее для тупого здоровяка. Флаг — двусмысл.
Coinflip	Монетка	meaning	FLAG	OVR Coin flip = подбрасывание монетки/'орёл-решка'. Буквальной кличке нет краткого аналога; альт. 'Орёл-Решка' (но через тире/дефис нежелательно). Спорно — нужен глаз.
Coward	Трус	canon		Канон из др. секции — берём 1:1 (по смыслу 'трус').
Crieg	Криг	canon		КАНОН задан: Криг. Вероятно отсылка → Borderlands 2 (Krieg the Psycho), безумный громила-топорщик, в тему вида.
Daniel	Дэниел	translit		Обычное мужское имя → транслит.
Deker	Декер	translit		Имя/фамилия-обрубок → транслит.
Dingus	Дебил	crude-insult	FLAG	Кличка-оскорбление 'болван/придурок' в регистре тупого здоровяка. Спорно: альтернативы Балда/Дурила.
Doofus	Балбес	crude-insult		Кличка-оскорбление, тупой регистр. Doofus→Балбес (ориентир из промпта).
Doub	Даб	canon		Канон из задания.
Drunkard	Пьянь	crude-insult		Кличка по смыслу, грубовато-просто: пьяница → 'Пьянь'. Альт. 'Алкаш'.
Dumbass	Долбоёб	crude-insult	FLAG	Сочно по регистру (пример из брифа). Спорно из-за грубости на табличке — можно мягче 'Тупень'.
Dummy	Болван	crude-insult		Кличка-оскорбление. Dummy→Болван (ориентир из промпта).
Dumpy	Пузан	meaning	FLAG	Dumpy = низкий и толстый, неуклюжий; «Пузан» в регистре толстого громилы. Можно «Колобок»; флаг — выбор.
Dusty	Пыльный	canon		КАНОН из брифа: Dusty→Пыльный.
Ellis	Эллис	reference	FLAG	Неоднозначно: отсылка L4D2 (Ellis, простоватый южанин — на тему) либо обычное имя. Канон/транслит Эллис покрывает оба.
Erick	Эрик	translit		Обычное имя → транслит.
Fatass	Жиртрест	crude-insult		Прямо из примеров регистра (Fatass→Жиртрест).
Food	Жрачка	word-name		Слово 'еда' → по смыслу в регистре быдла; ориентир из брифа (Food→Жрачка).
Fort	Форт	word-name	FLAG	Слово 'форт/крепость' — образ крепкого здоровяка; транслит=по смыслу совпадают. Спорно: может быть обрубок имени.
