ENG	RU	CATEGORY	FLAG	NOTE
AJ	Эй-Джей	canon		Канон. Инициалы-кличка A.J., панибратская форма.
Aaron	Аарон	canon		Обычное имя, не водная отсылка. Канон.
Alli	Элли	translit	FLAG	Ласковое от Allison; но в водном/кусачем виде намеренно читается как Alli(gator)=аллигатор. Двусмысленность сохранена, выбран благозвучный женский транслит Элли.
Ami	Ами	translit		Имя/кличка; слабая возможная морская связь (Сейлор Меркурий Ами Мидзуно), но в общем виде просто имя — транслит
Ano	Ано	translit		Короткая кличка, отсылок нет — благозвучный транслит.
Ashley	Эшли	translit		Обычное имя, благозвучный транслит.
Azula	Азула	reference		Отсылка: Avatar: The Last Airbender, принцесса огня Азула. Канон рус-дубляжа — Азула. Ирония огневик в водном виде.
Baby	Малыш	meaning		Ласковая кличка 'Малыш/Малышка', не отсылка; тёплый добродушный регистр вида
Bam	Бам	canon		Канон. Звукоподражание удара, вяжется с кусачей/спортивной темой.
Baxter	Бакстер	canon		Кличка/фамилия, по умолчанию просто транслит. Канон.
Bay	Бухта	water-word		Bay=бухта/залив, морская лексика вида. Смысловой перевод.
Beachy	Пляжик	water-word		От beach=пляж — пляжно-водная кличка, уменьшительно-ласкательно под добряков
Bibi	Биби	translit		Детская кличка, отсылок нет — транслит.
Biter	Кусака	biting-word		Прямо кусака — ядро кусачей темы CHOMPY, мило.
Blubby	Бульбуль	water-word	FLAG	От blubber (ворвань) + детское blub-blub (пузыри под водой). Бульбуль передаёт водные пузыри и милоту лучше, чем Жирок; спорно — есть и жировой смысл.
Blue	Синий	canon		Канон: Синий (уже решено в др. секции) — водный цвет
Bobo	Бобо	canon		Канон. Шутовская кличка, не водная отсылка — транслит.
Bohbi	Боби	translit		Вариант написания Bobby, обрубок-слог; транслит без отсылки.
Bombom	Бом-Бом	codename		Удвоение bom-bom (взрыв/bonbon). Звуковая удвоенная кличка, по умолчанию транскрипция Бом-Бом.
Bonnie	Бонни	reference	FLAG	Отсылка FNAF (аниматроник-кролик Бонни), канон Бонни; но также обычное женское имя — спорно. Женская форма
Bro	Братишка	meaning		Дружелюбная панибратская кличка в духе добродушного вида; тёплая форма 'Бро/Братан'.
Brook	Брук	canon		brook=ручей; смысловое водное имя (тема имён Rain World). Канон Брук переопределён? — нет, канон даёт Брук.
Bubbles	Пузырёк	reference		Отсылка: Powerpuff Girls (Пузырёк, рус-дубляж) и рыбка-фанатка пузырьков из В поисках Немо — обе водные. Канон Пузырёк. ё сохранён.
Bubby	Пузик	water-word		От bubble/bub — пузырик; водная детская кличка, мило
Buddy	Бадди	canon		Канон Бадди (транслит). Pal уже занял смысл 'Дружок' — разводим коллизию.
Carlos	Карлос	canon	FLAG	Отсылка на Карлоса из 'Удивительный мир Гамбола' (вод. тема через Дарвина), но и обычное имя. Канон.
Carpi	Карпик	water-word		От carp=карп (рыба). Рыбная кличка, ласковое Карпик в духе доброго вида.
Champ	Чемпион	sport-word		Champ=чемпион — спортивная тема вида, бодро по смыслу
Chewy	Жевака	biting-word		От chew = жевать, кусачая тема. Мило. Развёл с Toothy-семьёй; омофон Chewie (SW) контекстно не релевантен.
Choi	Чой	canon		Корейская фамилия Чхве/Чой, кличка. Канон.
Chum	Кореш	canon		Канон (задано в др. секции). Двусмысленность chum=приятель/акулья прикормка; выбран Кореш.
Clyde	Клайд	canon		Канон: Клайд (отсылка Pac-Man, оранжевый призрак-добряк) — транслит
Cobalt	Кобальт	water-word		Кобальтово-синий, водный цвет. Не конкретная отсылка.
Cole	Коул	canon		Обычное имя Коул. Канон.
Crieg	Криг	canon		Канон. Искажение Craig/Greig, кличка Криг.
Daan	Дан	canon		Канон: Дан (нидерландское имя Даан) — благозвучный транслит
Dancer	Танцор	sport-word		По смыслу — плавная манера/спорт. Не конкретная отсылка.
Darthi	Дарти	reference	FLAG	Похоже на Darth (титул ситхов Star Wars) + i; лёгкая отсылка, transliт-форма с сохранением -и. Спорно.
Darvin	Дарвин	reference		Отсылка: вариант Darwin — золотая рыбка из The Amazing World of Gumball (водная). Канон рус-дубляжа Дарвин.
Darwin	Дарвин	reference		Канон: Дарвин (золотая рыбка из 'Удивительный мир Гамбола', рус-дубляж) — водная отсылка
Deker	Декер	canon		Канон. Имя/фамилия Декер (возм. хоккейный deke — слабо), по умолчанию имя.
Dopple	Доппель	canon		От doppelganger=двойник, общая отсылка. Канон.
Dude	Чувак	canon		Канон. Расслабленная сёрферская/панибратская кличка, в тему вида.
Elliot	Эллиот	canon		Канон: Эллиот — обычное имя, благозвучный транслит
Ewa	Эва	canon		Канон. Польское имя Эва, женская форма.
Fabi	Фаби	translit		Уменьш. от Fabian/Fabio, обрубок-слог; транслит.
Fate	Фейт	translit	FLAG	Fate=судьба/рок, пафосная и НЕ водная кличка. Транслит Фейт читается как имя-кличка на табличке лучше смыслового Судьба; спорно.
Feri	Фери	translit	FLAG	Двусмысленно: имя Фери (венг.) или искажение ferry=паром (водная тема); по умолчанию транслит-имя — спорно
Fin	Плавник	water-word		Fin = плавник (рыбий/акулий), ядро морской темы. Возм. эхо Finn (Adventure Time), но буквально плавник.
Finley	Финли	translit		Имя Финли, обыгрывает fin=плавник; рыбная кличка, но подаём транслитом.
Fishstick	Рыбопалка	water-word		Fish stick=рыбная палочка, шуточная рыбная кличка (мем-скин Fortnite). Рыбопалка компактнее и разводит с Fishy/Карпик.
Fishy	Рыбка	water-word		Прямая рыбная кличка; разведено с Shrimp (Креветка) — мило по смыслу
Friend	Дружбан	meaning		Friend = друг, дружелюбная кличка. Взял 'Дружбан' чтобы развести с Pal=Дружок и Bro=Братишка.
Gil	Жабр	reference		Жабр (Gill) — вожак из 'В поисках Немо' (рус-дубляж) + gill=жабры; водно-рыбное.
Gilly	Жабрик	water-word		Уменьш. от gill=жабры. Рыбная кличка, ласковое Жабрик в духе вида.
Gummy	Жевастик	biting-word		Gummy=жевательный/дёсны — мягко-кусачая тема (милый кусачий), по смыслу
Gumpy	Гампи	canon		Канон. Кличка-искажение (Gumby/grumpy?), отсылок нет — транслит.
Handy	Умелец	meaning		Handy=умелый/рукастый; по смыслу, не водная.
Happy	Счастливчик	meaning		OVR Happy=счастливчик/весельчак, в духе добродушного вида. Весельчак бодрее.
Hope	Надежда	meaning		Hope=Надежда — имя-слово, не водная отсылка, по смыслу
Hydro	Гидро	water-word		Hydro = вода (греч. ὕδωρ), прямая водная кличка. Транслит-по-смыслу.
Irwin	Ирвин	reference	FLAG	Возм. Стив Ирвин (Crocodile Hunter, водно-кусачая тема), но и имя. Транслит.
JC	Джей-Си	initials		Инициалы-кличка, не отсылка. Транскрипция инициалов Джей-Си.
Jackie	Джеки	translit		Имя Джеки, не отсылка — транслит
Jayci	Джейси	translit		Вариант Jaycee/Jacey, не отсылка — транслит.
Jelly	Медузка	water-word		Jelly=медуза (jellyfish); морская тема, мило.
Jeth	Джет	translit		Сокращение от Jethro, кличка Джет. Не отсылка по себе.
Jethro	Джетро	translit		Имя Джетро (библейское/кантри); возможные слабые отсылки (NCIS/Hillbillies) низкие — транслит-имя
Joi	Джой	translit		От joy = радость, кличка Джой; в духе радостного вида. Транслит сохраняет имя-кличку.
Jolly	Весельчак	canon		Jolly=весёлый; добродушие вида. Канон.
Josh	Джош	canon		Канон. Обычное имя Джош.
Kinni	Кинни	translit		Криптическая кличка-обрубок Кинни, отсылки нет — транслит
Kirby	Кирби	reference	FLAG	Отсылка: Nintendo (розовый Кирби, всасывает — кусачая/глотательная тема). Канон Кирби. Спорно: также фамилия, confidence средний.
Kissy	Целовашка	biting-word		От kiss — милая тема: 'целует' вместо кусает, зубастый но милый.
Koy	Кой	canon		Канон (задано). Омофон koi=японский карп кои, водная тема; форма кличку Кой.
Koykoy	Койкой	reference		Канон: Койкой (удвоение Koy → карп кои, koi-koi) — рыбная детская кличка
Logan	Логан	translit		Обычное имя — благозвучный транслит.
Matt	Мэтт	canon		Обычное имя Мэтт. Канон.
Maxxy	Макси	translit		Кличка от Max — Макси. Не отсылка.
Meica	Мейка	translit		Имя/кличка Мейка, отсылки нет — транслит
Melvin	Мелвин	canon		Канон. Имя Мелвин, не отсылка.
Misty	Мисти	reference	FLAG	Мисти из Pokémon — лидер водного зала (вод. покемоны) + misty=туманный. Рус-дубляж Мисти.
Mitty	Митти	translit		Кличка Митти (от mitten/Mitty). Отсылки не видно, транслит.
Monk	Монах	reference		Канон: Монах (жёлтый слизнекот Monk из Rain World, рус-вики подтверждено) — отсылка
Muddie	Грязнуля	water-word	FLAG	От mud = грязь/ил (донная водная тема), мило. Спорно: альт. 'Илик'; выбрал тёплое 'Грязнуля'.
Murder	Душегуб	biting-word	FLAG	Murder=убийство — иронично-грозная кличка добряка. Спорно по тону.
Nailer	Гвоздобой	canon		Канон (задано). От nail it=вколачивать; спортивно-кусачая тема.
Nathan	Нейтан	canon		Канон: Нейтан — обычное имя, благозвучный транслит
Nick	Ник	translit		Обычное имя — транслит.
Noami	Ноами	translit		Вариант/опечатка Naomi; сохраняем написание Ноами. Транслит.
Ocean	Океан	water-word		Ocean=океан, ядро морской темы вида. Смысловой перевод; разведён с Sea/Бухта.
Oli	Оли	canon		Канон: Оли (уменьш. от Oliver) — транслит
Oliver	Оливер	canon		Канон. Имя Оливер, не отсылка.
Orthi	Орти	translit		Криптический обрубок-слог; транслит без отсылки.
Otter	Выдра	water-word		Otter=выдра, водное милое игривое животное, идеально для вида. Смысловой перевод.
Paige	Пейдж	canon		Канон: Пейдж — имя, не отсылка, благозвучный транслит
Pal	Дружок	canon		Канон. Pal = приятель/кореш, дружелюбная кличка в духе вида.
Patchy	Пэтчи	reference	FLAG	Возм. Пэтчи-пират из 'Губки Боба' (морская тема) + patchy=пятнистый. Форма Пэтчи.
Pate	Пейт	canon		Канон. Кличка Пейт, отсылки нет.
Pawni	Поуни	translit		Криптический обрубок Поуни (возм. от paw=лапка), отсылки нет — транслит per политика
Peace	Мирок	meaning		Peace = мир/спокойствие, миролюбивая тёплая кличка. 'Мирок' уютнее сухого 'Мир'.
Persi	Перси	translit		Кличка Перси (Percy); возм. слабая отсылка Percy Jackson (вода). По умолчанию транслит.
Phil	Фил	canon		Канон. Обычное имя Фил.
Pibb	Пибб	canon	FLAG	Канон: Пибб (вероятна отсылка Mr. Pibb, газировка/жидкость; устоявшейся рус-формы нет) — транслит, confidence средний, спорно
Reggie	Реджи	translit		Уменьш. от Reginald, не отсылка — транслит.
Regy	Реги	translit		OVR Вариант Reggie; благозвучный транслит, не отсылка.
Rex	Рекс	canon		Канон. Rex=царь(лат.)/T-Rex (кусачая тема), но не конкретная отсылка; транслит Рекс.
Ripply	Рябь	canon		Канон: Рябь (от ripple=рябь на воде) — водная тема. Разведено с Ripply/Rivulet канонами
River	Ривер	canon	FLAG	Канон Ривер. Отсылка/смысл: river=река + эхо Rain World (Rivulet). Транслитим, чтобы развести с Sea/Wavey водными смыслами и не плодить 'Река'.
Rivey	Риви	water-word		Уменьш. от river/Rivulet; водная кличка. Транслит Риви разводит с Ривер/Ручей.
