ENG	RU	CATEGORY	FLAG	NOTE
Adin	Адин	plainname		
Al	Эл	short		
Alan	Алан	plainname		
Alex	Алекс	plainname		
Ally	Союзник	plainname	FLAG	OVR женское; Элли по звучанию
Alt	Алт	short		
Alva	Альва	plainname		
Alyx	Аликс	plainname		как Alyx из Half-Life
Amos	Амос	myth		библ. пророк, по политике п.4
Aoi	Аои	plainname		японское имя
Aqer	Акер	short		
Arden	Арден	plainname		
Ares	Арес	myth		бог войны
Ari	Ари	plainname		
Arid	Эрид	short	FLAG	arid=засушливый, но как имя транслит звучания
Ariel	Ариэль	plainname		
Arlo	Арло	plainname		
Aron	Арон	plainname		
Arth	Арт	short		
Ashe	Эш	plainname		
Ashyam	Ашьям	plainname		
Audi	Ауди	plainname		
Ave	Эйв	short	FLAG	транслит звучания; не лат. ave
Avery	Эйвери	plainname		
Avory	Эйвори	plainname		
Avro	Авро	short		
Azar	Азар	plainname		
Baba	Баба	short		
Beck	Бек	plainname		
Beken	Бекен	plainname		казах. имя
Ber	Бер	short		
Berry	Ягодка	word	FLAG	berry=ягода, по политике п.3
Biff	Бифф	short		
Blixen	Бликсен	plainname		
Blood	Кровь	word		
Blue	Синий	word		
Bo	Бо	short		
Bodie	Боди	plainname		
Bofa	Бофа	meme		мем-обрывок (bofa deez)
Box	Коробка	word		
Bram	Брэм	plainname		
Burr	Бёрр	short		
Byrn	Бирн	short		
Cade	Кейд	plainname		
Cain	Каин	myth		библ. Каин
Cal	Кэл	short		
Caps	Капс	word	FLAG	caps; транслит звучания
Carey	Кэри	plainname		
Carn	Карн	short		
Casey	Кейси	plainname		
Cass	Касс	plainname		
Caster	Кастер	plainname	FLAG	caster=маг/заклинатель, но как кличка транслит
Cedar	Кедр	word		
Ceil	Сил	short		
Cesar	Сезар	plainname		
Chain	Цепь	word		
Chas	Чаз	short		
Chase	Чейз	plainname		
Claude	Клод	reference		каноничная дубляжная форма
Cleo	Клео	plainname		
Clicker	Кликер	word	FLAG	clicker; кличка транслитом, узнаваемо
Clif	Клиф	plainname		
Clue	Клю	word	FLAG	clue=улика; короткий слог, транслит звучания
Cohn	Кон	plainname		
Cola	Кола	word		
Coma	Кома	word		
Con	Кон	short		
Conscript	Призывник	word		
Convict	Зэк	word		
Copper	Медяк	word		
Corpo	Корпо	word	FLAG	corpo=корпорат, мем-сленг; транслит
Cory	Кори	plainname		
Cove	Коув	short	FLAG	cove=бухта; как кличка транслит
Coven	Ковен	word		ковен=шабаш ведьм, узнаваемо
Cree	Кри	short		
Cric	Крик	short		
Cy	Сай	short		
Cybil	Сибил	plainname		
Cyril	Сирил	plainname		
Cyro	Сайро	short		
Daley	Дейли	plainname		
Dam	Дэм	short		
Damie	Дэми	plainname		
Dan	Дэн	plainname		
Dane	Дейн	plainname		
Darv	Дарв	short		
Darvie	Дарви	plainname		
Dax	Дакс	short		
